South Australia,,
Area of Operation,Suburb,Post Code
,MOONTA,5558
,MOONTA BAY,5558
,MOONTA MINES,5558
,NORTH MOONTA,5558
,NORTH YELTA,5558
,PORT HUGHES,5558
,YELTA,5558
Maitland,PRICE,5570
,ARDROSSAN,5571
,BLACK POINT,5571
,PINE POINT,5571
,TIDDY WIDDY BEACH,5571
,ARTHURTON,5572
,BALGOWAN,5573
,MAITLAND,5573
,PORT VICTORIA,5573
,BRENTWOOD,5575
,CORNY POINT,5575
,HARDWICKE BAY,5575
,MARION BAY,5575
,MINLATON,5575
,POINT TURTON,5575
,PORT RICKABY,5575
,THE PINES,5575
,WOOL BAY,5575
,YORKETOWN,5576
Maitland,,
,WAROOKA,5577
,CURRAMULKA,5580
,PORT VINCENT,5581
,STANSBURY,5582
,COOBOWIE,5583
,EDITHBURGH,5583
Port Broughton,FISHERMAN BAY,5522
,PORT BROUGHTON,5522
,ALFORD,5555
,KULPARA,5555
,MELTON,5555
,MUNDOORA,5555
,TICKERA,5555
,BUTE,5560
Port Wakefield,OWEN,5460
,BALAKLAVA,5461
,HALBURY,5461
,MOUNT TEMPLETON,5461
,BLYTH,5462
,BRINKWORTH,5464
,CONDOWIE,5464
,HART,5464
,MAROLA,5464
,ROCHESTER,5464
,WILD HORSE PLAINS,5501
,LOCHIEL,5510
,SNOWTOWN,5520
,PORT WAKEFIELD,5550
